name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
"Tong Garden Imported - Salted Peanuts Combo, 400g",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/81vQ72tAMXL._AC_UL320_.jpg,https://www.amazon.in/Tong-Garden-Salted-Peanuts-400g/dp/B00M7TFH3W/ref=sr_1_793?qid=1679213608&s=garden&sr=1-793,4.4,"1,084",,₹350,4345
"LAFILLETTE High Pressure Brass Hose Nozzle Adjustable Water Spray gun for car Motorbike And Any Vehicle Cleaning, Gardenin...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/71tT0Eb8J+L._AC_UL320_.jpg,https://www.amazon.in/SGL-Adjustable-Water-Spray-Gun/dp/B07G529GTX/ref=sr_1_794?qid=1679213608&s=garden&sr=1-794,3.4,"1,489",₹316,"₹1,199",4346
"Oblivion Gardening Tools - Flower Cutter/Garden Shear/Pruner & Big Garden Tool Set Wooden Handle Hand Cultivator,Trowel, G...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/51Ru1mAcNfL._AC_UL320_.jpg,https://www.amazon.in/Oblivion-Gardening-Tools-Flover-Cultivator/dp/B08NVMNQRP/ref=sr_1_795?qid=1679213608&s=garden&sr=1-795,3.8,"1,116",₹219,₹499,4347
"SCOTMEN Terrace Gardening Leafy Vegetable Grow Bag - 15""X06"" (Green , Pack of 5)",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/31vtuzSfZBL._AC_UL320_.jpg,https://www.amazon.in/SCOTMEN-Terrace-Gardening-Leafy-Vegetable/dp/B085414JBC/ref=sr_1_796?qid=1679213608&s=garden&sr=1-796,4.3,115,₹399,₹405,4348
Nano Gold Agriculture Growth Promoter for All Plants & Crops | 1 Litre,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/51Vtb5wUi4L._AC_UL320_.jpg,https://www.amazon.in/Nano-Gold-Agriculture-Growth-Promoter/dp/B09H72TM87/ref=sr_1_797?qid=1679213608&s=garden&sr=1-797,3.8,81,₹649,₹999,4349
"SIOPAWORLD Plant Climbing Wall Fixture Clips 30Pcs, Self-Adhesive Hook Vines Traction Invisible Holder Supporting Wire Fix...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/61m4pKn6rkL._AC_UL320_.jpg,https://www.amazon.in/SIOPAWORLD-Wall-Self-Adhesive-Supporting-Fixing/dp/B0BTMCFV23/ref=sr_1_798?qid=1679213608&s=garden&sr=1-798,5.0,2,₹199,₹499,4350
"TrustBasket Bird Feeder – Garden Bird Feeder,Hanging Metal Feeder for Balcony,Home,Indoor and Outdoor(Black)",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/61JMOEt7ETL._AC_UL320_.jpg,https://www.amazon.in/TrustBasket-Bird-Feeder-Hanging-Balcony/dp/B08N4F6XKD/ref=sr_1_799?qid=1679213608&s=garden&sr=1-799,3.9,327,₹249,₹399,4351
"Seedscare Morning Glory, 50 Seeds Mixed",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/81EJK1WkmXL._AC_UL320_.jpg,https://www.amazon.in/Seedscare-Morning-Glory-Mixed-Seeds/dp/B01DR0S7SQ/ref=sr_1_800?qid=1679213608&s=garden&sr=1-800,3.4,"5,739",₹176,₹180,4352
Unitedlys Diatomaceous Earth Powder | 100% Organic Pest Control for your Garden | Effective Ant Repellent and Cockroach Ki...,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/71z-lYu24OL._AC_UL320_.jpg,https://www.amazon.in/Unitedlys%C2%AE-Diatomaceous-Effective-Organic-Friendly/dp/B08LBCT648/ref=sr_1_801?qid=1679213608&s=garden&sr=1-801,3.7,407,₹236,₹499,4353
Ugaoo Sansevieria Golden Hahnii Snake Plant with Self Watering Pot,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/51+8PuVqdfL._AC_UL320_.jpg,https://www.amazon.in/Ugaoo-Sansevieria-Golden-Hahnii-Snake/dp/B071NMHPSY/ref=sr_1_802?qid=1679213608&s=garden&sr=1-802,4.0,"1,043",₹399,₹595,4354
The Gifti® White Double Gudhal/Hibiscus Live Plant in Poly Bags [Plant Hight 28 CM],home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/51PTG+IgBkL._AC_UL320_.jpg,https://www.amazon.in/GIFTI-Gardening-Double-Gudhal-Hibiscus/dp/B09VDDSDV8/ref=sr_1_803?qid=1679213608&s=garden&sr=1-803,2.6,14,₹255,₹933,4355
"Swingzy Cotton Netted Rope Hanging Swing Chair for Adults/Swing for Balcony/Outdoor Swing Chair/Hammock Swing for Home, Pa...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/71G9qw7kKWL._AC_UL320_.jpg,https://www.amazon.in/Swingzy-Hanging-Capacity-Accessories-Included/dp/B099WZV4K4/ref=sr_1_804?qid=1679213608&s=garden&sr=1-804,3.8,506,₹999,"₹3,490",4356
"Kraft Seeds Garden Tool Kit - 9 Pcs (Weeder, Trowels, Hand Fork, Cultivator, Scissors, Pruner, Gardening Hand Gloves, Spra...",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/71jM6l2E3PL._AC_UL320_.jpg,https://www.amazon.in/Kraft-Seeds-Garden-Scissors-Comfortable/dp/B09CQ8VGTC/ref=sr_1_805?qid=1679213608&s=garden&sr=1-805,4.4,227,₹494,₹549,4357
Topinon Mouse Insect Rodent Lizard Trap Rat Catcher Adhesive Sticky Glue Pad - Non Poisonous - Non Toxic - Odourless - Rat...,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/812C+gA866L._AC_UL320_.jpg,https://www.amazon.in/Topinon-Insect-Rodent-Catcher-Adhesive/dp/B0BPY6CXDF/ref=sr_1_806?qid=1679213608&s=garden&sr=1-806,5.0,3,₹345,₹899,4358
"Leafy Tales Hanging Flower Pot Holder Railing Potted Plant Stand for Home Balcony Décor, Black, Set of 2 (Metal Basket-2)",home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/71DvzBFGG1L._AC_UL320_.jpg,https://www.amazon.in/Leafy-Tales-Hanging-Metal-Basket-2/dp/B09C1YPHYT/ref=sr_1_807?qid=1679213608&s=garden&sr=1-807,4.3,305,,₹375,4359
Namo Organics - Halim Seeds ( Aliv Seeds For Eating ) - 400 Gm - Protein Rich Garden Cress Seeds for Hair Growth,home & kitchen,Garden & Outdoors,https://m.media-amazon.com/images/I/71JOTcggzeL._AC_UL320_.jpg,https://www.amazon.in/Namo-Organics-Halim-Seeds-Organic/dp/B08F3VH829/ref=sr_1_808?qid=1679213608&s=garden&sr=1-808,4.1,"1,964",₹198,₹249,4360
